Generation 367, Best Fitness: 0.75
Generation 368, Best Fitness: 0.75
Generation 369, Best Fitness: 0.75
Generation 370, Best Fitness: 0.875
Generation 371, Best Fitness: 0.75
Generation 372, Best Fitness: 0.75
Generation 373, Best Fitness: 0.75
Generation 374, Best Fitness: 0.75
Generation 375, Best Fitness: 0.75
Generation 376, Best Fitness: 0.75
Generation 377, Best Fitness: 0.875
Generation 378, Best Fitness: 0.875
Generation 379, Best Fitness: 1
-----------------------------------------------------------------------------
Initial population: 
